athlete_code,name,gender,country_code,country,nationality_code,nationality,disciplines,events,birth_date,birth_country,hobbies,occupation,lang,reason,hero,medal_type,medal_code,medal_date,has_medal
1532872,ALEKSANYAN Artur,Male,ARM,Armenia,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,Armenia,Playing and watching football,Athlete,"Armenian, English, Russian",He followed his father and his uncle into the sport,"Footballer Zinedine Zidane (FRA), World Cup winner (1998) and European champion (2000) with France, won the Champions League as a player and three times as a manager with Real Madrid, three-time FIFA World Player of the Year",Silver Medal,2.0,2024-08-07,True
1532873,AMOYAN Malkhas,Male,ARM,Armenia,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,Armenia,,,Armenian,,,Bronze Medal,3.0,2024-08-07,True
1532874,GALSTYAN Slavik,Male,ARM,Armenia,ARM,Armenia,['Wrestling'],"[""Men's Greco-Roman 67kg""]",1996-12-21,,,,Armenian,,,None,None,None,False
1532944,HARUTYUNYAN Arsen,Male,ARM,Armenia,ARM,Armenia,['Wrestling'],"[""Men's Freestyle 57kg""]",1999-11-22,Armenia,,Athlete,Armenian,"While doing karate he noticed wrestlers training and decided to give it a try. He also tried judo but his father, a former wrestler, did not allow him to do both, so he chose wrestling. (sport.mediamax.am, 10 July 2017)","Wrestler Armen Nazaryan (ARM, BUL), two-time Olympic champion (1996, 2000) and 2004 bronze medallist. Eight-time world championship medallist (three gold, two silver, three bronze)",None,None,None,False
1532945,TEVANYAN Vazgen,Male,ARM,Armenia,ARM,Armenia,['Wrestling'],"[""Men's Freestyle 65kg""]",1999-10-27,Armenia,,Athlete,"Armenian, Russian","“My family did not like wrestling very much. At first I wanted to do boxing but my older friends advised me to go to wrestling training, and after a week, I started to like the sport.” (myInfo)",,None,None,None,False
1532951,ARENAS Lorena,Female,COL,Colombia,COL,Colombia,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",1993-09-17,Colombia,,Athlete,Spanish,,"Race walker Luis Fernando Lopez (COL), four-time Olympian (2004, 2008, 2012, 2016), 2011 world champion (20km walk)",None,None,None,False
1533112,McKENZIE Ashley,Male,JAM,Jamaica,JAM,Jamaica,['Judo'],['Men -60 kg'],1989-07-17,Great Britain,Music,Athlete,English,"""I was thrown over [an argument about] a Pokemon card and wanted to learn to throw immediately."" (Athlete, 25 Jun 2024)","Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century",None,None,None,False
1533136,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,GAM,Gambia,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",1995-05-03,Gambia,,"Athlete, police officer (sub-inspector)","English, French","“I started running when I was in primary school, like we have junior championships. It's where I started running and it’s where I started to notice that, if I work hard I will be a great athlete.” (olympics.com, 24 Apr 2024)","Sprinter Shelly-Ann Fraser-Pryce (JAM), three time Olympic champion (four silver, one bronze), 16-time world championship medallist (10 gold, five silver, one bronze). In the 100m, two-time Olympic champion (2008, 2012), five-time world champion (2009, 2013, 2015, 2019, 2022). </p><p>""Shelly-Ann, she is consistent. She is a mother but she still loves what she is doing and she is still performing as she did before."" (Tales of Hagie Drammeh Youtube, 16 Jan 2023)</p><p>Sprinter Marie-Josee Ta Lou (CIV), three fourth places at the Olympic Games (2016, 2020), double world silver medallist (100m-200m) in 2017, world bronze medallist in 2019 (100m)",None,None,None,False
1533176,CAMARA Ebrahima,Male,GAM,Gambia,GAM,Gambia,['Athletics'],"[""Men's 100m""]",1996-09-18,Gambia,"Running, watching movies, football, chatting with friends","Athlete, prison officer","Arabic, English, French, Mandinka, Wolof","""I love running and I was fast a child."" (Athlete, 7 Jul 2024)","Sprinter Gina Mariam Bass Bittaye (GAM), two-time Olympian (Rio 2016, Tokyo 2020), 2019 World Championships 200m finalist, four-time African championships medallist (two gold, two bronze), four-time African Games medallist (three gold, one silver)",None,None,None,False
1533188,RUEDA SANTOS Lizeth,Female,MEX,Mexico,MEX,Mexico,['Triathlon'],"[""Women's Individual""]",1994-03-07,Mexico,,Athlete,Spanish,Was a competitive swimmer from age 12 and went on to race internationally in marathon swimming,,None,None,None,False
1533189,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,MEX,Mexico,['Triathlon'],"[""Women's Individual""]",1997-08-27,Mexico,,Athlete,"English, Spanish","She always liked running and was involved in swimming so her father encouraged her to try triathlon. “When I started practising it I realised that I liked it more than just swimming, it was more dynamic, more entertaining. I had always had the idea of ​​dedicating myself to this and seeking to qualify for the Olympic Games.” (mural.com.mx, 28 Mar 2023)",,None,None,None,False
1533190,GRAJALES Crisanto,Male,MEX,Mexico,MEX,Mexico,['Triathlon'],"[""Men's Individual""]",1987-05-06,Mexico,"Music, films",Athlete,Spanish,"Both his parents ran marathons. At age five his father used to take him to run alongside him. Four years later he took part in his first triathlon. ""I considered it a complete and dynamic sport."" (chicagotribune.com, 29 Jul 2016)",Athlete German Silva (MEX).</p><p>Boxer Julio Cesar Chavez (MEX),None,None,None,False
