code,current,name_x,name_short,name_tv,gender_x,function,country_code_x,country_x,country_long_x,nationality_x,nationality_long_x,nationality_code_x,height,weight,disciplines,events,birth_date_x,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports,medal_date_x,medal_type_x,medal_code_x,name_y,gender_y,country_code_y,country_y,country_long_y,nationality_code_y,nationality_y,nationality_long_y,team,team_gender,discipline_x,event,event_type_x,url_event_x,birth_date_y,code_athlete,code_team,is_medallist,tag,sport,sport_code,sport_url,medal_type_y,medal_code_y,medal_date_y,name,gender,discipline_y,event_type_y,url_event_y,country_code,country_athlete,country_long_athlete,country_total,country_long_total,Gold Medal,Silver Medal,Bronze Medal,Total
1532872,True,ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1991-10-21,GYUMRI,Armenia,GYUMRI,Armenia,White Bear,Playing and watching football,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Father, Gevorg Aleksanyan","Armenian, English, Russian","Gevorg Aleksanyan (ARM), father",He followed his father and his uncle into the sport,"Footballer Zinedine Zidane (FRA), World Cup winner (1998) and European champion (2000) with France, won the Champions League as a player and three times as a manager with Real Madrid, three-time FIFA World Player of the Year","His father, Gevorg Aleksanyan","""Wrestling is my life."" (mediamax.am. 18 May 2016)",,,,2024-08-07,Silver Medal,2.0,ALEKSANYAN Artur,Male,ARM,Armenia,Armenia,ARM,Armenia,Armenia,,,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1991-10-21,1532872,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Silver Medal,2.0,2024-08-07,Artur ALEKSANYAN,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,ARM,Armenia,Armenia,Armenia,Armenia,0,3,1,4
1544897,True,SARAVI Mohammadhadi,SARAVI M,Mohammadhadi SARAVI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1998-01-06,,IR Iran,AMOL,IR Iran,,,Athlete,,,Farsi,National: Hassan Rangraz (IRI),"“During my childhood and adolescence, many of my friends and relatives were involved in wrestling and I went to see their competitions several times. Little by little, I became interested in wrestling, and I was so excited that one day I could make my country proud that I decided to take a wrestling class. Considering that I lived in Khuzestan Province, and that this province is the centre of Greco-Roman wrestling, I chose it (over freestyle wrestling).” (photokade, 1 Jan 2020)","Wrestler Ghasem Rezaei (IRI), two-time Olympic medallist (2012 gold, 2016 bronze), three-time world championship medallist (one silver, two bronze)",,,,,,2024-08-07,Gold Medal,1.0,SARAVI Mohammadhadi,Male,IRI,IR Iran,Islamic Republic of Iran,IRI,IR Iran,Islamic Republic of Iran,,,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,1998-01-06,1544897,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Gold Medal,1.0,2024-08-07,Mohammadhadi SARAVI,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,3,6,3,12
1566601,True,DZHUZUPBEKOV Uzur,DZHUZUPBEKOV U,Uzur DZHUZUPBEKOV,Male,Athlete,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,KGZ,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1996-04-12,,,,,,,Athlete,"Kyrgyz State Law Academy, Bishkek, KGZ",,Russian,National: Azat Erkimbayev (KGZ),,,,,,,,2024-08-07,Bronze Medal,3.0,DZHUZUPBEKOV Uzur,Male,KGZ,Kyrgyzstan,Kyrgyzstan,KGZ,Kyrgyzstan,Kyrgyzstan,,,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000200--,1996-04-12,1566601,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Bronze Medal,3.0,2024-08-07,Uzur DZHUZUPBEKOV,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000200--,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,0,2,4,6
1571504,True,ROSILLO KINDELAN Gabriel Alejandro,ROSILLO KINDELAN G,Gabriel Alejandro ROSILLO KINDELAN,Male,Athlete,CUB,Cuba,Cuba,Cuba,Cuba,CUB,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",1999-01-04,,Cuba,SANTIAGO DE CUBA,Cuba,,,Athlete,,,Spanish,National: Raul Trujillo (CUB),,,,"“Convince your mind that limits don't exist.” (Instagram, 19 Jun 2022)",,,,2024-08-07,Bronze Medal,3.0,ROSILLO KINDELAN Gabriel Alejandro,Male,CUB,Cuba,Cuba,CUB,Cuba,Cuba,,,Wrestling,Men's Greco-Roman 97kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--,1999-01-04,1571504,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Bronze Medal,3.0,2024-08-07,Gabriel Alejandro ROSILLO KINDELAN,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--,CUB,Cuba,Cuba,Cuba,Cuba,2,1,6,9
1532873,True,AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-01-22,YEREVAN,Armenia,YEREVAN,Armenia,,,,,,Armenian,,,,,"""To become a good athlete, you first have to be a good person."" (ankakh.com, 6 Oct 2018)","Uncle, Roman Amoyan (wrestling), 2008 Olympic bronze medallist and two-time European champion in Greco-Roman",,,2024-08-07,Bronze Medal,3.0,AMOYAN Malkhas,Male,ARM,Armenia,Armenia,ARM,Armenia,Armenia,,,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000100--,1999-01-22,1532873,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Bronze Medal,3.0,2024-08-07,Malkhas AMOYAN,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000100--,ARM,Armenia,Armenia,Armenia,Armenia,0,3,1,4
1566627,True,MAKHMUDOV Akzhol,MAKHMUDOV A,Akzhol MAKHMUDOV,Male,Athlete,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,KGZ,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1999-04-15,,Kyrgyzstan,,Kyrgyzstan,Akula (Shark),"Billiards, tennis",Athlete,"Graduated with a degree in Law from Kyrgyz State Law Academy (Bishkek, KGZ)",,"Kyrgyz, Russian",Personal: Meirambek Akhmetov (KGZ),He followed his two older brothers into the sport after his father noticed his passion and brought him to a gym,"Wrestler Elmurat Tasmuradov (UZB), 2016 Olympic bronze medallist (Greco-Roman 59kg), three-time world championship medallist (one silver, two bronze)",,"“Sport is my life. You need to do what a coach says, whether you want it or not.” (myInfo)","Brother, Beksultan (wrestling), 2021 Asian Championships 97kg bronze medallist (Greco-Roman).</p><p>Brother, Syimyk (wrestling), 2023 national 63kg champion (Greco-Roman)",,,2024-08-07,Bronze Medal,3.0,MAKHMUDOV Akzhol,Male,KGZ,Kyrgyzstan,Kyrgyzstan,KGZ,Kyrgyzstan,Kyrgyzstan,,,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--,1999-04-15,1566627,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Bronze Medal,3.0,2024-08-07,Akzhol MAKHMUDOV,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,0,2,4,6
1939692,True,KUSAKA Nao,KUSAKA N,KUSAKA Nao,Male,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",2000-11-28,KAGAWA,Japan,KAGAWA,Japan,,"Eating udon noodles, a Kagawa speciality",,"Graduated in 2023 from Nippon Sport Science University (Tokyo, JPN)",,Japanese,National: Mutsumi Sasamoto (JPN),,,,,,,,2024-08-07,Gold Medal,1.0,KUSAKA Nao,Male,JPN,Japan,Japan,JPN,Japan,Japan,,,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,2000-11-28,1939692,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Gold Medal,1.0,2024-08-07,KUSAKA Nao,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,JPN,Japan,Japan,Japan,Japan,20,12,13,45
1958652,True,ZHADRAYEV Demeu,ZHADRAYEV D,Demeu ZHADRAYEV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0.0,0.0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1989-11-02,USHARAL,Kazakhstan,,,,"Reading, watching movies",Athlete,"Physical Education - Kazakh Academy of Sport and Tourism, Almaty, KAZ",,"Kazakh, Russian",National: Bakhtiar Baiseitov (KAZ).<br>Personal: Boranbek Konyratov (KAZ),"His uncle encouraged him to take up the sport. ""Like most wrestlers, I came to the sport during my school days. I started at a rural sports school with my friends. And since then we have always been together."" (myInfo)",Greco-Roman wrestler Saksylik Ushkempirov (URS),,,,,,2024-08-07,Silver Medal,2.0,ZHADRAYEV Demeu,Male,KAZ,Kazakhstan,Kazakhstan,KAZ,Kazakhstan,Kazakhstan,,,Wrestling,Men's Greco-Roman 77kg,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,1989-11-02,1958652,,True,wrestling,Wrestling,WRE,https://olympics.com/en/paris-2024/sports/wrestling,Silver Medal,2.0,2024-08-07,Demeu ZHADRAYEV,M,Wrestling,HATH,/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/fnl-000100--,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,1,3,3,7
1535187,True,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180.0,0.0,['Boxing'],"[""Men's 71kg""]",2002-02-11,MAZATLAN,Mexico,MAZATLAN,Mexico,Green,,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX),"Played baseball for seven or eight years, before following his father Manuel into boxing - even though Manuel wanted Marco to stick with a baseball glove rather than switch to boxing gloves",,,,"Father, Manuel Verde (boxing), competed for Mexico in the men's light heavyweight division at the Barcelona 1992 Olympic Games",,,2024-08-09,Silver Medal,2.0,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,Mexico,MEX,Mexico,Mexico,,,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,2002-02-11,1535187,,True,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Silver Medal,2.0,2024-08-09,Marco Alonso VERDE ALVAREZ,M,Boxing,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,MEX,Mexico,Mexico,Mexico,Mexico,0,3,2,5
1556797,True,MUYDINKHUJAEV Asadkhuja,MUYDINKHUJAEV A,Asadkhuja MUYDINKHUJAEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,174.0,0.0,['Boxing'],"[""Men's 71kg""]",2001-05-08,FERGANA,Uzbekistan,FERGANA,Uzbekistan,,,,,,Uzbek,,,,,,,,,2024-08-09,Gold Medal,1.0,MUYDINKHUJAEV Asadkhuja,Male,UZB,Uzbekistan,Uzbekistan,UZB,Uzbekistan,Uzbekistan,,,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,2001-05-08,1556797,,True,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Gold Medal,1.0,2024-08-09,Asadkhuja MUYDINKHUJAEV,M,Boxing,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,8,2,3,13
